CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Attrition_Prob_Yes,NB_Attrition_Prob_No,Churn_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount,Bankruptcy_History,Bankruptcy_Flag,Adjusted_Credit_Score,Moodys_Rating,Payment_History_Flag,Payment_Risk,estimated_annual_revenue
A900000000,Attrited Customer,52,M,5,Undergraduate,Single,$60K - $80K,Gold,41,4,12,0,34516.0,2517,31999.0,0.741,1475,33,0.833,0.073,0.00018665,0.99981,Involuntary,61631,5135.916666666667,49.00780451396213,High Risk,526.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,526.0,Caa,good,good,553.4000000000001
709163358,Attrited Customer,41,M,5,,Single,$60K - $80K,Gold,32,2,3,4,34516.0,2517,31999.0,0.465,1727,35,0.458,0.073,0.99852,0.0014793,Voluntary,62197,5183.083333333333,48.56182774088783,Medium Risk,687.0,1,4,2023-08-15 22:36:53.078427,670.26,Yes,1,537.0,Caa,bad,bad,553.4000000000001
714751158,Attrited Customer,49,M,2,High School,Divorced,$80K - $120K,Blue,36,4,2,4,34516.0,2517,31999.0,0.376,1789,48,0.455,0.073,0.99686,0.00313909,Involuntary,107184,8932.0,28.179579041648005,Low Risk,450.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,300.0,C,bad,bad,553.4000000000001
771795933,Attrited Customer,49,M,4,,Single,$120K +,Blue,38,3,3,4,34516.0,2517,31999.0,0.7,2376,55,0.486,0.073,0.99832,0.00167742,Involuntary,198760,16563.333333333332,15.196216542563898,Low Risk,582.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,582.0,B,bad,bad,553.4000000000001
751518633,Attrited Customer,48,M,5,Post-Graduate,Single,$120K +,Silver,41,5,3,1,34516.0,2517,31999.0,0.553,2260,50,0.786,0.073,0.99167,0.00833,Involuntary,136406,11367.166666666666,22.142720994677656,Low Risk,529.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,379.0,C,bad,bad,553.4000000000001
714391683,Attrited Customer,39,M,4,,Married,$60K - $80K,Gold,36,4,3,2,34516.0,2517,31999.0,0.841,8248,66,0.65,0.073,0.99583,0.00416767,Voluntary,67501,5625.083333333333,44.746003762907215,Medium Risk,678.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,678.0,Baa,good,good,553.4000000000001
713390433,Attrited Customer,44,M,3,Graduate,,$60K - $80K,Gold,29,2,3,2,34516.0,2517,31999.0,0.579,6782,67,0.763,0.073,0.99537,0.00462792,Involuntary,68675,5722.916666666667,43.98107025846378,Medium Risk,464.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,464.0,Ca,good,good,553.4000000000001
715321008,Attrited Customer,39,M,2,,Married,$120K +,Blue,36,6,3,3,34516.0,2517,31999.0,1.052,7866,63,0.75,0.073,0.997,0.00299743,Involuntary,163817,13651.416666666666,18.437646886464776,Low Risk,690.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,540.0,Caa,bad,bad,553.4000000000001
712841883,Attrited Customer,50,M,3,College,Single,$80K - $120K,Silver,36,3,3,2,34516.0,2517,31999.0,0.735,7155,66,0.65,0.073,0.99394,0.00606,Involuntary,84923,7076.916666666667,35.56633656371066,Low Risk,477.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,327.0,C,bad,bad,553.4000000000001
710178558,Attrited Customer,46,M,2,High School,Married,$60K - $80K,Gold,38,5,3,6,34516.0,2517,31999.0,0.956,9314,89,0.978,0.073,0.99943,0.00056902,Voluntary,76311,6359.25,39.58013916735464,Medium Risk,598.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,598.0,B,good,good,553.4000000000001
