CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Attrition_Prob_Yes,NB_Attrition_Prob_No,Churn_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount,Bankruptcy_History,Bankruptcy_Flag,Adjusted_Credit_Score,Moodys_Rating,Payment_History_Flag,Payment_Risk,estimated_annual_revenue
A900000000,Attrited Customer,52,M,5,Undergraduate,Single,$60K - $80K,Gold,41,4,12,0,34516.0,2517,31999.0,0.741,1475,33,0.833,0.073,0.00018665,0.99981,Involuntary,61631,5135.916666666667,49.00780451396213,High Risk,526.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,526.0,Caa,good,good,553.4000000000001
771359958,Existing Customer,39,M,4,,Single,$120K +,Silver,26,6,2,2,34516.0,2517,31999.0,0.887,1689,42,1.1,0.073,0.00011856,0.99988,Existing Customer,144229,12019.083333333334,20.94169688481512,Low Risk,652.0,1,4,2024-04-09 22:36:53.078402,12521.78,No,0,652.0,Baa,good,good,553.4000000000001
715127208,Existing Customer,48,M,3,Doctorate,Divorced,$120K +,Blue,36,4,3,2,34516.0,2517,31999.0,0.697,1699,48,0.846,0.073,0.00027008,0.99973,Existing Customer,170771,14230.916666666666,17.686843784951776,Low Risk,820.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,820.0,Aaa,good,good,553.4000000000001
718784358,Existing Customer,34,M,4,Uneducated,Single,$120K +,Blue,36,6,3,2,34516.0,2517,31999.0,0.975,1969,46,1.3,0.073,0.00019396,0.99981,Existing Customer,138254,11521.166666666666,21.846745844604857,Low Risk,656.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,656.0,Baa,good,good,553.4000000000001
711032058,Existing Customer,34,M,3,High School,Single,$80K - $120K,Silver,21,6,4,3,34516.0,2517,31999.0,0.791,2901,75,0.923,0.073,0.00033322,0.99967,Existing Customer,115014,9584.5,26.261150816422347,Low Risk,621.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,621.0,Ba,good,good,553.4000000000001
720467583,Existing Customer,52,M,2,High School,Single,$80K - $120K,Blue,46,3,3,2,34516.0,2517,31999.0,0.685,3072,67,0.675,0.073,0.00017486,0.99983,Existing Customer,89654,7471.166666666667,33.68951747830549,Low Risk,738.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,738.0,A,good,good,553.4000000000001
709163358,Attrited Customer,41,M,5,,Single,$60K - $80K,Gold,32,2,3,4,34516.0,2517,31999.0,0.465,1727,35,0.458,0.073,0.99852,0.0014793,Voluntary,62197,5183.083333333333,48.56182774088783,Medium Risk,687.0,1,4,2023-08-15 22:36:53.078427,670.26,Yes,1,537.0,Caa,bad,bad,553.4000000000001
717331758,Existing Customer,44,M,4,Graduate,Married,$120K +,Blue,32,6,3,4,34516.0,2517,31999.0,0.765,4228,83,0.596,0.073,0.00054115,0.99946,Existing Customer,123602,10300.166666666666,24.436497791297874,Low Risk,570.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,570.0,B,good,good,553.4000000000001
721295658,Existing Customer,62,M,1,,Single,$80K - $120K,Blue,55,6,1,4,34516.0,2517,31999.0,0.945,3975,63,0.537,0.073,0.00016305,0.99984,Existing Customer,107793,8982.75,28.02037238039576,Low Risk,652.0,1,2,2023-06-11 22:36:53.078439,15765.85,No,0,652.0,Baa,good,good,553.4000000000001
714751158,Attrited Customer,49,M,2,High School,Divorced,$80K - $120K,Blue,36,4,2,4,34516.0,2517,31999.0,0.376,1789,48,0.455,0.073,0.99686,0.00313909,Involuntary,107184,8932.0,28.179579041648005,Low Risk,450.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,300.0,C,bad,bad,553.4000000000001
