CLIENTNUM,review,date,City,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Attrition_Prob_Yes,NB_Attrition_Prob_No,Churn_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount,Bankruptcy_History,Bankruptcy_Flag,Adjusted_Credit_Score,Moodys_Rating,Payment_History_Flag,Payment_Risk,estimated_annual_revenue,sentiment_result,sentiment_label,sentiment_score,sentiment_numeric,review_lower,category,nps_category,nps_summary,nps_value
771795933,"Unable to make a payment from another credit card to close the balance because the card number is too long. I could only make a payment via DD, which I DON'T want to do. There is no information about this on their website. Can't wait to close this thing down. Customer Service - took me 10 min to go through security, clueless staff. Website appalling, no point using it as all managed by the app, which is painfully slow, not working most of the time and very limited.",5-Jun-25,Rouyn-Noranda,Attrited Customer,49,M,4,,Single,$120K +,Blue,38,3,3,4,34516.0,2517,31999.0,0.7,2376,55,0.486,0.073,0.99832,0.00167742,Involuntary,198760,16563.333333333332,15.196216542563898,Low Risk,582.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,582.0,B,bad,bad,553.4000000000001,"{'label': 'NEGATIVE', 'score': 0.9996494054794312}",NEGATIVE,0.9996494054794312,-0.9996494054794312,"unable to make a payment from another credit card to close the balance because the card number is too long. i could only make a payment via dd, which i don't want to do. there is no information about this on their website. can't wait to close this thing down. customer service - took me 10 min to go through security, clueless staff. website appalling, no point using it as all managed by the app, which is painfully slow, not working most of the time and very limited.",Poor Customer Service,Detractor,93.66812227074236,0
713390433,I have had an argos card for years and have never had a problem always used buy now pay later and always paid on time because I'm very organised. However yesterday I had an email off then saying they had started a credit plan and my first payment was coming out on 25th and it was for a very shocking ammount of money. I originally thought it was fraud so I phoned up argos to then find it was a purchase I made last year that I hadn't paid off. Having looked back through my bank statements it looks like this wasn't paid however I had paid other stuff off on there more recently and cleared the card so I would have noticed the outstanding payment and paid it off. I think argos didn't show that I had this left to pay until my year was up then automatically charged me. I have no proof of any of this though because they send no emails all I have is an email of me ordering it and then my bank statement to show I never paid it but I have no proof of them not showing the outstanding payment in the app so I haven't been able to take this further. I have unfortunately had to pay the ammount and once it's all gone through I will be cancelling my argos card and never using again. It is a shame because I did enjoy using it but I believe they have conned me out of money.,19-Jul-25,Spruce Grove,Attrited Customer,44,M,3,Graduate,,$60K - $80K,Gold,29,2,3,2,34516.0,2517,31999.0,0.579,6782,67,0.763,0.073,0.99537,0.00462792,Involuntary,68675,5722.916666666667,43.98107025846378,Medium Risk,464.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,464.0,Ca,good,good,553.4000000000001,"{'label': 'NEGATIVE', 'score': 0.9980560541152954}",NEGATIVE,0.9980560541152954,-0.9980560541152954,i have had an argos card for years and have never had a problem always used buy now pay later and always paid on time because i'm very organised. however yesterday i had an email off then saying they had started a credit plan and my first payment was coming out on 25th and it was for a very shocking ammount of money. i originally thought it was fraud so i phoned up argos to then find it was a purchase i made last year that i hadn't paid off. having looked back through my bank statements it looks like this wasn't paid however i had paid other stuff off on there more recently and cleared the card so i would have noticed the outstanding payment and paid it off. i think argos didn't show that i had this left to pay until my year was up then automatically charged me. i have no proof of any of this though because they send no emails all i have is an email of me ordering it and then my bank statement to show i never paid it but i have no proof of them not showing the outstanding payment in the app so i haven't been able to take this further. i have unfortunately had to pay the ammount and once it's all gone through i will be cancelling my argos card and never using again. it is a shame because i did enjoy using it but i believe they have conned me out of money.,Technical Issues,Detractor,93.66812227074236,0
712841883,They wrote to say they suspended my account card. Dont remember getting a previous letter. I dont care. I dont want to use it anymore. Its getting the payment down thats the issue. Stupid young woman in Argos should never have thrust it at me. So they blame me for the debt. They slap on high interest. Im paying extra what I can. Wish I had a lottery win to pay it off.,11-Jul-25,Sudbury,Attrited Customer,50,M,3,College,Single,$80K - $120K,Silver,36,3,3,2,34516.0,2517,31999.0,0.735,7155,66,0.65,0.073,0.99394,0.00606,Involuntary,84923,7076.916666666667,35.56633656371066,Low Risk,477.0,0,0,1900-01-01 00:00:00.000000,0.0,Yes,1,327.0,C,bad,bad,553.4000000000001,"{'label': 'NEGATIVE', 'score': 0.9993553757667542}",NEGATIVE,0.9993553757667542,-0.9993553757667542,they wrote to say they suspended my account card. dont remember getting a previous letter. i dont care. i dont want to use it anymore. its getting the payment down thats the issue. stupid young woman in argos should never have thrust it at me. so they blame me for the debt. they slap on high interest. im paying extra what i can. wish i had a lottery win to pay it off.,Technical Issues,Detractor,93.66812227074236,0
721243083,I Spoke with them twice this week both times the call handler was unfriendly and unhelpful.,9-Jul-25,Selkirk,Attrited Customer,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516.0,2408,32108.0,0.796,1187,40,0.6,0.07,0.99819,0.00181217,Involuntary,82248,6854.0,35.13276918587686,Low Risk,672.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,672.0,Baa,good,good,531.6,"{'label': 'NEGATIVE', 'score': 0.9968955516815186}",NEGATIVE,0.9968955516815186,-0.9968955516815186,i spoke with them twice this week both times the call handler was unfriendly and unhelpful.,Poor Customer Service,Detractor,93.66812227074236,0
787921383,went on the phone talk to 3 different people at the customer service at Argos credit card about my card payment . All of them customer service is very poor Not freindly no helpful . 3 of them the same .,7-Jul-25,Dauphin,Attrited Customer,53,M,0,High School,Single,$120K +,Silver,44,2,4,4,34516.0,2297,32219.0,0.416,1461,43,0.536,0.067,0.99788,0.0021218,Involuntary,164278,13689.833333333334,16.778874834122647,Low Risk,689.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,689.0,Baa,good,good,509.4,"{'label': 'NEGATIVE', 'score': 0.9994181394577026}",NEGATIVE,0.9994181394577026,-0.9994181394577026,went on the phone talk to 3 different people at the customer service at argos credit card about my card payment . all of them customer service is very poor not freindly no helpful . 3 of them the same .,Poor Customer Service,Detractor,93.66812227074236,0
710047533,Customer service number not working properly can not make a payment.,1-Jul-25,Barrie,Attrited Customer,51,M,3,Graduate,Single,$80K - $120K,Gold,36,4,3,3,34516.0,2201,32315.0,0.978,8614,63,0.75,0.064,0.99724,0.00275658,Involuntary,86769,7230.75,30.439442658092176,Low Risk,558.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,558.0,B,bad,bad,490.2000000000001,"{'label': 'NEGATIVE', 'score': 0.9997968077659607}",NEGATIVE,0.9997968077659607,-0.9997968077659607,customer service number not working properly can not make a payment.,Poor Customer Service,Detractor,93.66812227074236,0
789684258,"They say buy now pay later with no interest, when you pay after the year they will claim huge amount of interest for that year, they will take the money without even telling you or sending you an email, when you ask they will say it is the interest for that year. They are very cunning beware.",6-Jun-25,Stratford,Attrited Customer,57,M,2,Post-Graduate,Single,$80K - $120K,Silver,43,2,3,3,34516.0,1847,32669.0,0.557,7842,61,0.794,0.054,0.9969,0.00309859,Involuntary,80619,6718.25,27.492278495143825,Low Risk,594.0,1,5,2024-12-14 22:36:53.078539,1522.58,No,0,594.0,B,bad,bad,419.4,"{'label': 'NEGATIVE', 'score': 0.9571470618247986}",NEGATIVE,0.9571470618247986,-0.9571470618247986,"they say buy now pay later with no interest, when you pay after the year they will claim huge amount of interest for that year, they will take the money without even telling you or sending you an email, when you ask they will say it is the interest for that year. they are very cunning beware.",Other,Detractor,93.66812227074236,0
716124408,"Unable to make a payment from another credit card to close the balance because the card number is too long. I could only make a payment via DD, which I DON'T want to do. There is no information about this on their website. Can't wait to close this thing down. Customer Service - took me 10 min to go through security, clueless staff. Website appalling, no point using it as all managed by the app, which is painfully slow, not working most of the time and very limited.",5-Jun-25,Penticton,Attrited Customer,32,M,2,Graduate,Single,$120K +,Gold,22,2,2,3,34516.0,1692,32824.0,0.983,7486,64,0.73,0.049,0.99549,0.00451271,Voluntary,194981,16248.416666666666,10.413322323713594,Low Risk,826.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,826.0,Aaa,good,good,388.4,"{'label': 'NEGATIVE', 'score': 0.9996494054794312}",NEGATIVE,0.9996494054794312,-0.9996494054794312,"unable to make a payment from another credit card to close the balance because the card number is too long. i could only make a payment via dd, which i don't want to do. there is no information about this on their website. can't wait to close this thing down. customer service - took me 10 min to go through security, clueless staff. website appalling, no point using it as all managed by the app, which is painfully slow, not working most of the time and very limited.",Poor Customer Service,Detractor,93.66812227074236,0
807393558,"App not working. This is the ONLY way to manage your Argos card. Unable to see balance, make payment or even open the app it just sits with a spinner.",27-May-25,St. John's,Attrited Customer,51,M,4,,Single,$120K +,Silver,46,2,3,3,34516.0,1279,33237.0,1.02,4615,49,0.581,0.037,0.99684,0.00316259,Involuntary,184738,15394.833333333334,8.307982115211814,Low Risk,547.0,1,3,2024-12-14 22:36:53.078921,5280.95,No,0,547.0,Caa,good,good,305.8,"{'label': 'NEGATIVE', 'score': 0.9997783303260803}",NEGATIVE,0.9997783303260803,-0.9997783303260803,"app not working. this is the only way to manage your argos card. unable to see balance, make payment or even open the app it just sits with a spinner.",Other,Detractor,93.66812227074236,0
716425833,They try to find any excuse to close the card when late payment & the interest is very high . AVOID!!,21-May-25,Canmore,Attrited Customer,38,M,2,Graduate,Single,$120K +,Blue,36,5,2,1,34516.0,1229,33287.0,0.427,1797,35,0.296,0.036,0.98564,0.01436,Involuntary,139694,11641.166666666666,10.557361089237906,Low Risk,590.0,0,0,1900-01-01 00:00:00.000000,0.0,No,0,590.0,B,good,good,295.8,"{'label': 'NEGATIVE', 'score': 0.999804675579071}",NEGATIVE,0.999804675579071,-0.999804675579071,they try to find any excuse to close the card when late payment & the interest is very high . avoid!!,Other,Detractor,93.66812227074236,0
