CLIENTNUM,Attrition_Flag,Attrition_Type,review,date,City,zipcode,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
A90000002,Attrited Customer,Voluntary,They wrote to say they suspended my account card. Donít remember getting a previous letter. I donít care. I donít want to use it anymore. Itís getting the payment down thatís the issue. Stupid young woman in Argos should never have thrust it at me. So they blame me for the debt. They slap on high interest. Iím paying extra what I can. Wish I had a lottery win to pay it off.,11-Jul-25,Saskatoon,K0A1A0,41,M,5,Unknown,Single,$60K - $80K,Gold,32,2,3,4,34516,2517,31999,0.465,1727,35,0.458,0.073,0.99852,0.0014793
771795933,Attrited Customer,Voluntary,"Unable to make a payment from another credit card to close the balance because the card number is too long. I could only make a payment via DD, which I DON'T want to do. There is no information about this on their website. Can't wait to close this thing down. Customer Service - took me 10 min to go through security, clueless staff. Website appalling, no point using it as all managed by the app, which is painfully slow, not working most of the time and very limited.",5-Jun-25,Rouyn-Noranda,K0A1K0,49,M,4,Unknown,Single,$120K +,Blue,38,3,3,4,34516,2517,31999,0.7,2376,55,0.486,0.073,0.99832,0.00167742
809464608,Attrited Customer,Voluntary,went on the phone talk to 3 different people at the customer service at Argos credit card about my card payment . All of them customer service is very poor Not freindly no helpful . 3 of them the same .,7-Jul-25,Peterborough,K0A1N0,47,F,3,High School,Married,Unknown,Silver,31,3,3,2,34516,2517,31999,0.618,2691,42,0.5,0.073,0.99394,0.00606
713390433,Attrited Customer,Voluntary,I have had an argos card for years and have never had a problem always used buy now pay later and always paid on time because I'm very organised. However yesterday I had an email off then saying they had started a credit plan and my first payment was coming out on 25th and it was for a very shocking ammount of money. I originally thought it was fraud so I phoned up argos to then find it was a purchase I made last year that I hadn't paid off. Having looked back through my bank statements it looks like this wasn't paid however I had paid other stuff off on there more recently and cleared the card so I would have noticed the outstanding payment and paid it off. I think argos didn't show that I had this left to pay until my year was up then automatically charged me. I have no proof of any of this though because they send no emails all I have is an email of me ordering it and then my bank statement to show I never paid it but I have no proof of them not showing the outstanding payment in the app so I haven't been able to take this further. I have unfortunately had to pay the ammount and once it's all gone through I will be cancelling my argos card and never using again. It is a shame because I did enjoy using it but I believe they have conned me out of money.,19-Jul-25,Spruce Grove,K0A1R0,44,M,3,Graduate,Unknown,$60K - $80K,Gold,29,2,3,2,34516,2517,31999,0.579,6782,67,0.763,0.073,0.99537,0.00462792
712841883,Attrited Customer,Voluntary,They wrote to say they suspended my account card. Donít remember getting a previous letter. I donít care. I donít want to use it anymore. Itís getting the payment down thatís the issue. Stupid young woman in Argos should never have thrust it at me. So they blame me for the debt. They slap on high interest. Iím paying extra what I can. Wish I had a lottery win to pay it off.,11-Jul-25,Sudbury,K0A1T0,50,M,3,College,Single,$80K - $120K,Silver,36,3,3,2,34516,2517,31999,0.735,7155,66,0.65,0.073,0.99394,0.00606
721243083,Attrited Customer,Voluntary,I Spoke with them twice this week both times the call handler was unfriendly and unhelpful.,9-Jul-25,Selkirk,K0A1X0,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516,2408,32108,0.796,1187,40,0.6,0.07,0.99819,0.00181217
787921383,Attrited Customer,Voluntary,went on the phone talk to 3 different people at the customer service at Argos credit card about my card payment . All of them customer service is very poor Not freindly no helpful . 3 of them the same .,7-Jul-25,Dauphin,K0A2M0,53,M,0,High School,Single,$120K +,Silver,44,2,4,4,34516,2297,32219,0.416,1461,43,0.536,0.067,0.99788,0.0021218
710047533,Attrited Customer,Voluntary,Customer service number not working properly can not make a payment.,1-Jul-25,Barrie,K0A2T0,51,M,3,Graduate,Single,$80K - $120K,Gold,36,4,3,3,34516,2201,32315,0.978,8614,63,0.75,0.064,0.99724,0.00275658
789684258,Attrited Customer,Voluntary,"They say buy now pay later with no interest, when you pay after the year they will claim huge amount of interest for that year, they will take the money without even telling you or sending you an email, when you ask they will say it is the interest for that year. They are very cunning beware.",6-Jun-25,Stratford,K0A2X0,57,M,2,Post-Graduate,Single,$80K - $120K,Silver,43,2,3,3,34516,1847,32669,0.557,7842,61,0.794,0.054,0.9969,0.00309859
716124408,Attrited Customer,Voluntary,"Unable to make a payment from another credit card to close the balance because the card number is too long. I could only make a payment via DD, which I DON'T want to do. There is no information about this on their website. Can't wait to close this thing down. Customer Service - took me 10 min to go through security, clueless staff. Website appalling, no point using it as all managed by the app, which is painfully slow, not working most of the time and very limited.",5-Jun-25,Penticton,K0A2Y0,32,M,2,Graduate,Single,$120K +,Gold,22,2,2,3,34516,1692,32824,0.983,7486,64,0.73,0.049,0.99549,0.00451271
