CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Attrition_Prob_Yes,NB_Attrition_Prob_No,Attrition_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount,Bankruptcy_History,Bankruptcy_Flag,Adjusted_Credit_Score,Moodys_Rating,Payment_History_Flag,Payment_Risk,Income_Category_Inferred,Income_Category_Complete,Risk_Level
A900000000,Attrited Customer,52,M,5,Undergraduate,Single,$60K - $80K,Gold,41,4,12,0,35000.0,2517,32163.0,,,,,,,,Involuntary,70717.0,5893.083333333333,42.711087857233764,Medium Risk,370.0,1,1,2024-11-14 15:46:09.444796,8378.7,Yes,1,300.0,C,bad,bad,>$120K,$60K - $80K,Medium Risk
718888308,Existing Customer,53,M,3,Graduate,Single,$80K - $120K,Blue,36,4,3,2,34516.0,2517,31999.0,0.741,1475.0,33.0,0.833,0.073,0.00018665,0.99981,,119344.0,9945.333333333334,25.308352326049068,Low Risk,402.0,0,0,,0.0,No,0,402.0,Ca,good,good,>$120K,$80K - $120K,Medium Risk
771359958,Existing Customer,39,M,4,Unknown,Single,$120K +,Silver,26,6,2,2,34516.0,2517,31999.0,0.887,1689.0,42.0,1.1,0.073,0.00011856,0.99988,,148619.0,12384.916666666666,20.323108081739214,Low Risk,735.0,0,0,,0.0,No,0,735.0,A,good,good,>$120K,$120K +,Low Risk
715127208,Existing Customer,48,M,3,Doctorate,Divorced,$120K +,Blue,36,4,3,2,34516.0,2517,31999.0,0.697,1699.0,48.0,0.846,0.073,0.00027008,0.99973,,188435.0,15702.916666666666,16.02886937140128,Low Risk,570.0,0,0,,0.0,No,0,570.0,B,good,good,>$120K,$120K +,Low Risk
718784358,Existing Customer,34,M,4,Uneducated,Single,$120K +,Blue,36,6,3,2,34516.0,2517,31999.0,0.975,1969.0,46.0,1.3,0.073,0.00019396,0.99981,,160240.0,13353.333333333334,18.84922616075886,Low Risk,406.0,0,0,,0.0,No,0,406.0,Ca,good,good,>$120K,$120K +,Low Risk
711032058,Existing Customer,34,M,3,High School,Single,$80K - $120K,Silver,21,6,4,3,34516.0,2517,31999.0,0.791,2901.0,75.0,0.923,0.073,0.00033322,0.99967,,93640.0,7803.333333333333,32.255446390431445,Low Risk,371.0,0,0,,0.0,No,0,371.0,C,good,good,>$120K,$80K - $120K,Low Risk
720467583,Existing Customer,52,M,2,High School,Single,$80K - $120K,Blue,46,3,3,2,34516.0,2517,31999.0,0.685,3072.0,67.0,0.675,0.073,0.00017486,0.99983,,109551.0,9129.25,27.570720486348826,Low Risk,320.0,0,0,,0.0,Yes,1,300.0,C,bad,bad,>$120K,$80K - $120K,Low Risk
709163358,Attrited Customer,41,M,5,Unknown,Single,$60K - $80K,Gold,32,2,3,4,34516.0,2517,31999.0,0.465,1727.0,35.0,0.458,0.073,0.99852,0.0014793,Voluntary,76954.0,6412.833333333333,39.24942173246355,Medium Risk,800.0,0,0,,0.0,Yes,1,650.0,Baa,bad,bad,>$120K,$60K - $80K,Medium Risk
717331758,Existing Customer,44,M,4,Graduate,Married,$120K +,Blue,32,6,3,4,34516.0,2517,31999.0,0.765,4228.0,83.0,0.596,0.073,0.00054115,0.99946,,151489.0,12624.083333333334,19.938081312834594,Low Risk,421.0,0,0,,0.0,No,0,421.0,Ca,good,good,>$120K,$120K +,Low Risk
721295658,Existing Customer,62,M,1,Unknown,Single,$80K - $120K,Blue,55,6,1,4,34516.0,2517,31999.0,0.945,3975.0,63.0,0.537,0.073,0.00016305,0.99984,,111297.0,9274.75,27.138197795088814,Low Risk,766.0,0,0,,0.0,No,0,766.0,Aa,good,good,>$120K,$80K - $120K,Low Risk
714751158,Attrited Customer,49,M,2,High School,Divorced,$80K - $120K,Blue,36,4,2,4,34516.0,2517,31999.0,0.376,1789.0,48.0,0.455,0.073,0.99686,0.00313909,Involuntary,81285.0,6773.75,37.158147259642,Medium Risk,513.0,0,0,,0.0,No,0,513.0,Caa,good,good,>$120K,$80K - $120K,Medium Risk
771795933,Attrited Customer,49,M,4,Unknown,Single,$120K +,Blue,38,3,3,4,34516.0,2517,31999.0,0.7,2376.0,55.0,0.486,0.073,0.99832,0.00167742,Involuntary,141209.0,11767.416666666666,21.389571486236715,Low Risk,364.0,1,4,2024-02-02 15:46:09.444861,1134.33,No,0,364.0,C,good,good,>$120K,$120K +,Low Risk
751518633,Attrited Customer,48,M,5,Post-Graduate,Single,$120K +,Silver,41,5,3,1,34516.0,2517,31999.0,0.553,2260.0,50.0,0.786,0.073,0.99167,0.00833,Involuntary,197233.0,16436.083333333332,15.313867354854413,Low Risk,520.0,0,0,,0.0,Yes,1,370.0,C,bad,bad,>$120K,$120K +,Low Risk
710662158,Existing Customer,41,M,4,Unknown,Married,$120K +,Blue,34,1,3,3,34516.0,2517,31999.0,0.434,2051.0,41.0,1.05,0.073,0.00034872,0.99965,,159018.0,13251.5,18.99407614232351,Low Risk,514.0,0,0,,0.0,No,0,514.0,Caa,good,good,>$120K,$120K +,Low Risk
708672708,Existing Customer,49,M,4,High School,Unknown,$80K - $120K,Blue,31,2,3,3,34516.0,2517,31999.0,0.71,3990.0,65.0,1.031,0.073,0.00030842,0.99969,,101013.0,8417.75,29.901101838377237,Low Risk,630.0,0,0,,0.0,No,0,630.0,Ba,good,good,>$120K,$80K - $120K,Medium Risk
789363408,Existing Customer,44,M,3,High School,Married,$120K +,Silver,34,3,1,2,34516.0,2517,31999.0,0.814,7427.0,83.0,0.566,0.073,5.02e-05,0.99995,,138656.0,11554.666666666666,21.783406415878144,Low Risk,758.0,0,0,,0.0,No,0,758.0,Aa,good,good,>$120K,$120K +,Low Risk
718665933,Existing Customer,43,M,3,Unknown,Divorced,$120K +,Blue,30,3,1,2,34516.0,2517,31999.0,0.77,7437.0,86.0,0.623,0.073,6.28e-05,0.99994,,120489.0,10040.75,25.067848517292035,Low Risk,387.0,0,0,,0.0,No,0,387.0,C,good,good,>$120K,$120K +,Low Risk
809464608,Attrited Customer,47,F,3,High School,Married,,Silver,31,3,3,2,34516.0,2517,31999.0,0.618,2691.0,42.0,0.5,0.073,0.99394,0.00606,Voluntary,,,,High Risk,596.0,0,0,,0.0,No,0,596.0,B,good,good,>$120K,>$120K,High Risk
719178183,Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Silver,42,2,3,3,34516.0,2517,31999.0,0.759,8186.0,85.0,0.635,0.073,0.00027334,0.99973,,97924.0,8160.333333333333,30.84432825456477,Low Risk,672.0,1,2,2024-09-07 15:46:09.444892,11352.7,No,0,672.0,Baa,good,good,>$120K,$80K - $120K,Low Risk
716704158,Existing Customer,50,M,1,Doctorate,Married,$120K +,Blue,39,2,3,2,34516.0,2517,31999.0,0.778,8087.0,86.0,0.509,0.073,0.00024431,0.99976,,199867.0,16655.583333333332,15.112049512926095,Low Risk,399.0,1,2,2025-03-28 15:46:09.444913,4555.85,Yes,1,300.0,C,bad,bad,>$120K,$120K +,Low Risk
714510483,Existing Customer,44,M,3,Graduate,Single,$80K - $120K,Gold,36,2,3,3,34516.0,2517,31999.0,0.703,7640.0,87.0,0.582,0.073,0.00036164,0.99964,,105009.0,8750.75,28.76324886438305,Low Risk,430.0,0,0,,0.0,No,0,430.0,Ca,good,good,>$120K,$80K - $120K,Low Risk
711436983,Existing Customer,57,M,3,Unknown,Single,$120K +,Silver,49,1,2,1,34516.0,2517,31999.0,0.693,8596.0,102.0,0.672,0.073,7.07e-05,0.99993,,145649.0,12137.416666666666,20.7375265192346,Low Risk,608.0,1,1,2024-10-26 15:46:09.444938,5084.96,No,0,608.0,Ba,good,good,>$120K,$120K +,Low Risk
714391683,Attrited Customer,39,M,4,Unknown,Married,$60K - $80K,Gold,36,4,3,2,34516.0,2517,31999.0,0.841,8248.0,66.0,0.65,0.073,0.99583,0.00416767,Involuntary,66182.0,5515.166666666667,45.63778670937717,Medium Risk,607.0,0,0,,0.0,Yes,1,457.0,Ca,bad,bad,>$120K,$60K - $80K,Medium Risk
713390433,Attrited Customer,44,M,3,Graduate,Unknown,$60K - $80K,Gold,29,2,3,2,34516.0,2517,31999.0,0.579,6782.0,67.0,0.763,0.073,0.99537,0.00462792,Involuntary,79386.0,6615.5,38.047010807951025,Medium Risk,585.0,1,4,2024-09-01 15:46:09.444970,3636.41,Yes,1,435.0,Ca,bad,bad,>$120K,$60K - $80K,Medium Risk
715321008,Attrited Customer,39,M,2,Unknown,Married,$120K +,Blue,36,6,3,3,34516.0,2517,31999.0,1.052,7866.0,63.0,0.75,0.073,0.997,0.00299743,Involuntary,139469.0,11622.416666666666,21.656425442212964,Low Risk,484.0,1,4,2023-05-04 15:46:09.444992,15359.42,No,0,484.0,Ca,good,good,>$120K,$120K +,Low Risk
712841883,Attrited Customer,50,M,3,College,Single,$80K - $120K,Silver,36,3,3,2,34516.0,2517,31999.0,0.735,7155.0,66.0,0.65,0.073,0.99394,0.00606,Voluntary,91324.0,7610.333333333333,33.07345276159608,Low Risk,661.0,0,0,,0.0,No,0,661.0,Baa,good,good,>$120K,$80K - $120K,Low Risk
710178558,Attrited Customer,46,M,2,High School,Married,$60K - $80K,Gold,38,5,3,6,34516.0,2517,31999.0,0.956,9314.0,89.0,0.978,0.073,0.99943,0.00056902,Involuntary,67995.0,5666.25,44.42091330244871,Medium Risk,506.0,0,0,,0.0,No,0,506.0,Caa,good,good,>$120K,$60K - $80K,Medium Risk
789105183,Existing Customer,54,M,3,Post-Graduate,Single,$80K - $120K,Silver,42,3,1,2,34516.0,2488,32028.0,0.552,4401.0,87.0,0.776,0.072,6.08e-05,0.99994,,101959.0,8496.583333333334,29.282358595121565,Low Risk,643.0,0,0,,0.0,No,0,643.0,Ba,good,good,>$120K,$80K - $120K,Low Risk
715839708,Existing Customer,51,M,1,Graduate,Married,$120K +,Blue,39,2,3,2,34516.0,2452,32064.0,0.707,7111.0,82.0,0.608,0.071,0.00016883,0.99983,,189172.0,15764.333333333334,15.554098915272874,Low Risk,791.0,0,0,,0.0,No,0,791.0,Aa,good,good,>$120K,$120K +,Low Risk
712268808,Existing Customer,55,M,4,Graduate,Single,$120K +,Silver,36,2,2,3,34516.0,2443,32073.0,0.827,8765.0,105.0,0.721,0.071,0.00018141,0.99982,,121764.0,10147.0,24.076081600473046,Low Risk,713.0,0,0,,0.0,No,0,713.0,A,good,good,>$120K,$120K +,Low Risk
709826058,Existing Customer,49,M,2,Unknown,Married,$80K - $120K,Blue,36,3,1,1,34516.0,2435,32081.0,0.732,1805.0,34.0,0.619,0.071,3.65e-05,0.99996,,107493.0,8957.75,27.1831654154224,Low Risk,685.0,1,3,2023-04-25 15:46:09.445010,511.95,No,0,685.0,Baa,good,good,>$120K,$80K - $120K,Low Risk
713916708,Existing Customer,53,M,3,Graduate,Single,$120K +,Gold,43,3,1,3,34516.0,2435,32081.0,0.77,7758.0,98.0,0.719,0.071,0.00011075,0.99989,,157353.0,13112.75,18.569712684219557,Low Risk,491.0,1,3,2020-10-16 15:46:09.445029,9060.19,No,0,491.0,Ca,good,good,>$120K,$120K +,Low Risk
715749108,Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Gold,37,5,1,2,34516.0,2429,32087.0,0.742,3205.0,57.0,0.727,0.07,6.58e-05,0.99993,,76261.0,6355.083333333333,38.2213713431505,Medium Risk,576.0,0,0,,0.0,No,0,576.0,B,good,good,>$120K,$60K - $80K,Medium Risk
770560683,Existing Customer,51,M,1,Graduate,Married,$120K +,Gold,37,2,3,1,34516.0,2417,32099.0,0.947,13021.0,117.0,0.625,0.07,0.00011731,0.99988,,126246.0,10520.5,22.974193241766073,Low Risk,460.0,0,0,,0.0,No,0,460.0,Ca,good,good,>$120K,$120K +,Low Risk
