CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Attrition_Type,annual_income,monthly_income,DTI_ratio,Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount
A90000001,Attrited Customer,52,M,5,Undergraduate,Single,$60K - $80K,Gold,41,4,12,0,35000.0,2517,32163.0,,,,,,,,Involuntary,65207.0,5433.916666666667,46.32018034873556,Medium Risk,601.0,1,1,2022-01-29 16:08:00.208214,9215.44
718888308,Existing Customer,53,M,3,Graduate,Single,$80K - $120K,Blue,36,4,3,2,34516.0,2517,31999.0,0.741,1475.0,33.0,0.833,0.073,0.00018665,0.99981,,95578.0,7964.833333333333,31.60141455146582,Low Risk,402.0,0,0,,0.0
771359958,Existing Customer,39,M,4,Unknown,Single,$120K +,Silver,26,6,2,2,34516.0,2517,31999.0,0.887,1689.0,42.0,1.1,0.073,0.00011856,0.99988,,180523.0,15043.583333333334,16.731386028373116,Low Risk,735.0,0,0,,0.0
715127208,Existing Customer,48,M,3,Doctorate,Divorced,$120K +,Blue,36,4,3,2,34516.0,2517,31999.0,0.697,1699.0,48.0,0.846,0.073,0.00027008,0.99973,,135648.0,11304.0,22.266454352441613,Low Risk,570.0,0,0,,0.0
718784358,Existing Customer,34,M,4,Uneducated,Single,$120K +,Blue,36,6,3,2,34516.0,2517,31999.0,0.975,1969.0,46.0,1.3,0.073,0.00019396,0.99981,,123259.0,10271.583333333334,24.504498657298857,Low Risk,406.0,0,0,,0.0
711032058,Existing Customer,34,M,3,High School,Single,$80K - $120K,Silver,21,6,4,3,34516.0,2517,31999.0,0.791,2901.0,75.0,0.923,0.073,0.00033322,0.99967,,107678.0,8973.166666666666,28.050298111034756,Low Risk,371.0,0,0,,0.0
720467583,Existing Customer,52,M,2,High School,Single,$80K - $120K,Blue,46,3,3,2,34516.0,2517,31999.0,0.685,3072.0,67.0,0.675,0.073,0.00017486,0.99983,,83773.0,6981.083333333333,36.05457605672473,Medium Risk,320.0,0,0,,0.0
709163358,Attrited Customer,41,M,5,Unknown,Single,$60K - $80K,Gold,32,2,3,4,34516.0,2517,31999.0,0.465,1727.0,35.0,0.458,0.073,0.99852,0.0014793,Voluntary,68144.0,5678.666666666667,44.323784926038975,Medium Risk,800.0,0,0,,0.0
717331758,Existing Customer,44,M,4,Graduate,Married,$120K +,Blue,32,6,3,4,34516.0,2517,31999.0,0.765,4228.0,83.0,0.596,0.073,0.00054115,0.99946,,162928.0,13577.333333333334,18.53825002455072,Low Risk,421.0,0,0,,0.0
721295658,Existing Customer,62,M,1,Unknown,Single,$80K - $120K,Blue,55,6,1,4,34516.0,2517,31999.0,0.945,3975.0,63.0,0.537,0.073,0.00016305,0.99984,,99185.0,8265.416666666666,30.45218531027877,Low Risk,766.0,0,0,,0.0
