CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,NB_Attrition_Prob_Yes,NB_Attrition_Prob_No,Attrition_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount,Bankruptcy_History,Bankruptcy_Flag,Adjusted_Credit_Score,Moodys_Rating,Payment_History_Flag,Payment_Risk,estimated_annual_revenue,Income_Category_Inferred,Income_Category_Complete
A900000000,Attrited Customer,52,M,5,Undergraduate,Single,$60K - $80K,Gold,41,4,12,0,35000.0,2517,32163.0,,,,,,,,Involuntary,60533.0,5044.416666666667,49.89675053276725,High Risk,477.0,1,1,2024-11-16 22:37:53.620688,8378.7,Yes,1,327.0,C,bad,bad,553.4000000000001,>$120K,$60K - $80K
718888308,Existing Customer,53,M,3,Graduate,Single,$80K - $120K,Blue,36,4,3,2,34516.0,2517,31999.0,0.741,1475.0,33.0,0.833,0.073,0.00018665,0.99981,Existing Customer,84441.0,7036.75,35.76935374995559,Low Risk,552.0,0,0,,0.0,No,0,552.0,B,good,good,553.4000000000001,>$120K,$80K - $120K
771359958,Existing Customer,39,M,4,,Single,$120K +,Silver,26,6,2,2,34516.0,2517,31999.0,0.887,1689.0,42.0,1.1,0.073,0.00011856,0.99988,Existing Customer,197087.0,16423.916666666668,15.325211708534809,Low Risk,798.0,0,0,,0.0,No,0,798.0,Aa,good,good,553.4000000000001,>$120K,$120K +
715127208,Existing Customer,48,M,3,Doctorate,Divorced,$120K +,Blue,36,4,3,2,34516.0,2517,31999.0,0.697,1699.0,48.0,0.846,0.073,0.00027008,0.99973,Existing Customer,179650.0,14970.833333333334,16.812691344280545,Low Risk,720.0,0,0,,0.0,No,0,720.0,A,good,good,553.4000000000001,>$120K,$120K +
718784358,Existing Customer,34,M,4,Uneducated,Single,$120K +,Blue,36,6,3,2,34516.0,2517,31999.0,0.975,1969.0,46.0,1.3,0.073,0.00019396,0.99981,Existing Customer,162898.0,13574.833333333334,18.541664108828837,Low Risk,556.0,0,0,,0.0,No,0,556.0,B,good,good,553.4000000000001,>$120K,$120K +
711032058,Existing Customer,34,M,3,High School,Single,$80K - $120K,Silver,21,6,4,3,34516.0,2517,31999.0,0.791,2901.0,75.0,0.923,0.073,0.00033322,0.99967,Existing Customer,112534.0,9377.833333333334,26.83988838928679,Low Risk,521.0,0,0,,0.0,No,0,521.0,Caa,good,good,553.4000000000001,>$120K,$80K - $120K
720467583,Existing Customer,52,M,2,High School,Single,$80K - $120K,Blue,46,3,3,2,34516.0,2517,31999.0,0.685,3072.0,67.0,0.675,0.073,0.00017486,0.99983,Existing Customer,104869.0,8739.083333333334,28.801647770075046,Low Risk,638.0,0,0,,0.0,Yes,1,488.0,Ca,bad,bad,553.4000000000001,>$120K,$80K - $120K
709163358,Attrited Customer,41,M,5,,Single,$60K - $80K,Gold,32,2,3,4,34516.0,2517,31999.0,0.465,1727.0,35.0,0.458,0.073,0.99852,0.0014793,Voluntary,61763.0,5146.916666666667,48.90306494179363,Medium Risk,668.0,0,0,,0.0,Yes,1,518.0,Caa,bad,bad,553.4000000000001,>$120K,$60K - $80K
717331758,Existing Customer,44,M,4,Graduate,Married,$120K +,Blue,32,6,3,4,34516.0,2517,31999.0,0.765,4228.0,83.0,0.596,0.073,0.00054115,0.99946,Existing Customer,168056.0,14004.666666666666,17.972580568381968,Low Risk,470.0,0,0,,0.0,No,0,470.0,Ca,good,good,553.4000000000001,>$120K,$120K +
721295658,Existing Customer,62,M,1,,Single,$80K - $120K,Blue,55,6,1,4,34516.0,2517,31999.0,0.945,3975.0,63.0,0.537,0.073,0.00016305,0.99984,Existing Customer,107399.0,8949.916666666666,28.12316688237321,Low Risk,552.0,0,0,,0.0,No,0,552.0,B,good,good,553.4000000000001,>$120K,$80K - $120K
714751158,Attrited Customer,49,M,2,High School,Divorced,$80K - $120K,Blue,36,4,2,4,34516.0,2517,31999.0,0.376,1789.0,48.0,0.455,0.073,0.99686,0.00313909,Involuntary,108227.0,9018.916666666666,27.908008168017222,Low Risk,526.0,0,0,,0.0,No,0,526.0,Caa,good,good,553.4000000000001,>$120K,$80K - $120K
771795933,Attrited Customer,49,M,4,,Single,$120K +,Blue,38,3,3,4,34516.0,2517,31999.0,0.7,2376.0,55.0,0.486,0.073,0.99832,0.00167742,Involuntary,164958.0,13746.5,18.310115302076895,Low Risk,450.0,1,4,2024-02-04 22:37:53.620727,1134.33,No,0,450.0,Ca,good,good,553.4000000000001,>$120K,$120K +
751518633,Attrited Customer,48,M,5,Post-Graduate,Single,$120K +,Silver,41,5,3,1,34516.0,2517,31999.0,0.553,2260.0,50.0,0.786,0.073,0.99167,0.00833,Involuntary,151218.0,12601.5,19.97381264135222,Low Risk,637.0,0,0,,0.0,Yes,1,487.0,Ca,bad,bad,553.4000000000001,>$120K,$120K +
710662158,Existing Customer,41,M,4,,Married,$120K +,Blue,34,1,3,3,34516.0,2517,31999.0,0.434,2051.0,41.0,1.05,0.073,0.00034872,0.99965,Existing Customer,192765.0,16063.75,15.668819547116955,Low Risk,571.0,0,0,,0.0,No,0,571.0,B,good,good,553.4000000000001,>$120K,$120K +
708672708,Existing Customer,49,M,4,High School,,$80K - $120K,Blue,31,2,3,3,34516.0,2517,31999.0,0.71,3990.0,65.0,1.031,0.073,0.00030842,0.99969,Existing Customer,84714.0,7059.5,35.654083150364755,Low Risk,664.0,0,0,,0.0,No,0,664.0,Baa,good,good,553.4000000000001,>$120K,$80K - $120K
789363408,Existing Customer,44,M,3,High School,Married,$120K +,Silver,34,3,1,2,34516.0,2517,31999.0,0.814,7427.0,83.0,0.566,0.073,5.02e-05,0.99995,Existing Customer,188512.0,15709.333333333334,16.022322186386013,Low Risk,780.0,0,0,,0.0,No,0,780.0,Aa,good,good,553.4000000000001,>$120K,$120K +
718665933,Existing Customer,43,M,3,,Divorced,$120K +,Blue,30,3,1,2,34516.0,2517,31999.0,0.77,7437.0,86.0,0.623,0.073,6.28e-05,0.99994,Existing Customer,140927.0,11743.916666666666,21.432372788748786,Low Risk,537.0,0,0,,0.0,No,0,537.0,Caa,good,good,553.4000000000001,>$120K,$120K +
809464608,Attrited Customer,47,F,3,High School,Married,,Silver,31,3,3,2,34516.0,2517,31999.0,0.618,2691.0,42.0,0.5,0.073,0.99394,0.00606,Voluntary,,,,High Risk,654.0,0,0,,0.0,No,0,654.0,Baa,good,good,553.4000000000001,>$120K,>$120K
719178183,Existing Customer,50,M,2,Graduate,Married,$80K - $120K,Silver,42,2,3,3,34516.0,2517,31999.0,0.759,8186.0,85.0,0.635,0.073,0.00027334,0.99973,Existing Customer,94904.0,7908.666666666667,31.82584506448622,Low Risk,822.0,1,2,2024-09-09 22:37:53.620747,11352.7,No,0,822.0,Aaa,good,good,553.4000000000001,>$120K,$80K - $120K
716704158,Existing Customer,50,M,1,Doctorate,Married,$120K +,Blue,39,2,3,2,34516.0,2517,31999.0,0.778,8087.0,86.0,0.509,0.073,0.00024431,0.99976,Existing Customer,150918.0,12576.5,20.013517274281398,Low Risk,549.0,1,2,2025-03-30 22:37:53.620798,4555.85,Yes,1,399.0,C,bad,bad,553.4000000000001,>$120K,$120K +
714510483,Existing Customer,44,M,3,Graduate,Single,$80K - $120K,Gold,36,2,3,3,34516.0,2517,31999.0,0.703,7640.0,87.0,0.582,0.073,0.00036164,0.99964,Existing Customer,109659.0,9138.25,27.543566875495856,Low Risk,809.0,0,0,,0.0,No,0,809.0,Aaa,good,good,553.4000000000001,>$120K,$80K - $120K
711436983,Existing Customer,57,M,3,,Single,$120K +,Silver,49,1,2,1,34516.0,2517,31999.0,0.693,8596.0,102.0,0.672,0.073,7.07e-05,0.99993,Existing Customer,158347.0,13195.583333333334,19.07456409025747,Low Risk,601.0,1,1,2024-10-28 22:37:53.620842,5084.96,No,0,601.0,Ba,good,good,553.4000000000001,>$120K,$120K +
714391683,Attrited Customer,39,M,4,,Married,$60K - $80K,Gold,36,4,3,2,34516.0,2517,31999.0,0.841,8248.0,66.0,0.65,0.073,0.99583,0.00416767,Involuntary,68000.0,5666.666666666667,44.417647058823526,Medium Risk,505.0,0,0,,0.0,Yes,1,355.0,C,bad,bad,553.4000000000001,>$120K,$60K - $80K
713390433,Attrited Customer,44,M,3,Graduate,,$60K - $80K,Gold,29,2,3,2,34516.0,2517,31999.0,0.579,6782.0,67.0,0.763,0.073,0.99537,0.00462792,Involuntary,61435.0,5119.583333333333,49.16415723935867,High Risk,484.0,1,4,2024-09-03 22:37:53.620863,3636.41,Yes,1,334.0,C,bad,bad,553.4000000000001,>$120K,$60K - $80K
715321008,Attrited Customer,39,M,2,,Married,$120K +,Blue,36,6,3,3,34516.0,2517,31999.0,1.052,7866.0,63.0,0.75,0.073,0.997,0.00299743,Involuntary,138493.0,11541.083333333334,21.809044500444063,Low Risk,561.0,1,4,2023-05-06 22:37:53.620882,15359.42,No,0,561.0,B,good,good,553.4000000000001,>$120K,$120K +
712841883,Attrited Customer,50,M,3,College,Single,$80K - $120K,Silver,36,3,3,2,34516.0,2517,31999.0,0.735,7155.0,66.0,0.65,0.073,0.99394,0.00606,Voluntary,102937.0,8578.083333333334,29.342219027171957,Low Risk,660.0,0,0,,0.0,No,0,660.0,Baa,good,good,553.4000000000001,>$120K,$80K - $120K
710178558,Attrited Customer,46,M,2,High School,Married,$60K - $80K,Gold,38,5,3,6,34516.0,2517,31999.0,0.956,9314.0,89.0,0.978,0.073,0.99943,0.00056902,Involuntary,76050.0,6337.5,39.71597633136095,Medium Risk,479.0,0,0,,0.0,No,0,479.0,Ca,good,good,553.4000000000001,>$120K,$60K - $80K
789105183,Existing Customer,54,M,3,Post-Graduate,Single,$80K - $120K,Silver,42,3,1,2,34516.0,2488,32028.0,0.552,4401.0,87.0,0.776,0.072,6.08e-05,0.99994,Existing Customer,93097.0,7758.083333333333,32.06977668453334,Low Risk,580.0,0,0,,0.0,No,0,580.0,B,good,good,547.6,>$120K,$80K - $120K
715839708,Existing Customer,51,M,1,Graduate,Married,$120K +,Blue,39,2,3,2,34516.0,2452,32064.0,0.707,7111.0,82.0,0.608,0.071,0.00016883,0.99983,Existing Customer,177313.0,14776.083333333334,16.594383942519723,Low Risk,599.0,0,0,,0.0,No,0,599.0,B,good,good,540.4000000000001,>$120K,$120K +
712268808,Existing Customer,55,M,4,Graduate,Single,$120K +,Silver,36,2,2,3,34516.0,2443,32073.0,0.827,8765.0,105.0,0.721,0.071,0.00018141,0.99982,Existing Customer,147434.0,12286.166666666666,19.88415155255911,Low Risk,758.0,0,0,,0.0,No,0,758.0,Aa,good,good,538.6,>$120K,$120K +
709826058,Existing Customer,49,M,2,,Married,$80K - $120K,Blue,36,3,1,1,34516.0,2435,32081.0,0.732,1805.0,34.0,0.619,0.071,3.65e-05,0.99996,Existing Customer,81920.0,6826.666666666667,35.6689453125,Low Risk,707.0,1,3,2023-04-27 22:37:53.620898,511.95,No,0,707.0,A,good,good,537.0,>$120K,$80K - $120K
713916708,Existing Customer,53,M,3,Graduate,Single,$120K +,Gold,43,3,1,3,34516.0,2435,32081.0,0.77,7758.0,98.0,0.719,0.071,0.00011075,0.99989,Existing Customer,139614.0,11634.5,20.929133181486097,Low Risk,793.0,1,3,2020-10-18 22:37:53.620920,9060.19,No,0,793.0,Aa,good,good,537.0,>$120K,$120K +
715749108,Existing Customer,48,M,3,Graduate,Married,$60K - $80K,Gold,37,5,1,2,34516.0,2429,32087.0,0.742,3205.0,57.0,0.727,0.07,6.58e-05,0.99993,Existing Customer,63500.0,5291.666666666667,45.902362204724405,Medium Risk,743.0,0,0,,0.0,No,0,743.0,A,good,good,535.8,>$120K,$60K - $80K
770560683,Existing Customer,51,M,1,Graduate,Married,$120K +,Gold,37,2,3,1,34516.0,2417,32099.0,0.947,13021.0,117.0,0.625,0.07,0.00011731,0.99988,Existing Customer,140279.0,11689.916666666666,20.67593866508886,Low Risk,835.0,0,0,,0.0,No,0,835.0,Aaa,good,good,533.4000000000001,>$120K,$120K +
721243083,Attrited Customer,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516.0,2408,32108.0,0.796,1187.0,40.0,0.6,0.07,0.99819,0.00181217,Involuntary,99611.0,8300.916666666666,29.00884440473442,Low Risk,503.0,0,0,,0.0,No,0,503.0,Caa,good,good,531.6,>$120K,$80K - $120K
712407033,Existing Customer,26,F,0,Uneducated,,,Silver,13,1,2,3,34516.0,2403,32113.0,0.623,4174.0,59.0,0.735,0.07,0.00015262,0.99985,Existing Customer,,,,High Risk,641.0,0,0,,0.0,No,0,641.0,Ba,good,good,530.6,>$120K,>$120K
720323208,Existing Customer,43,M,2,Graduate,Married,$120K +,Silver,31,6,2,4,34516.0,2398,32118.0,0.917,4976.0,88.0,0.692,0.069,0.00029507,0.9997,Existing Customer,191689.0,15974.083333333334,15.011816014481791,Low Risk,726.0,0,0,,0.0,No,0,726.0,A,good,good,529.6,>$120K,$120K +
718851783,Existing Customer,49,M,1,High School,Married,$80K - $120K,Silver,37,4,3,2,34516.0,2386,32130.0,0.698,3924.0,65.0,0.512,0.069,0.0001483,0.99985,Existing Customer,103194.0,8599.5,27.745799174370607,Low Risk,610.0,0,0,,0.0,No,0,610.0,Ba,good,good,527.2,>$120K,$80K - $120K
811793433,Existing Customer,50,F,3,Graduate,Divorced,,Silver,45,2,1,2,34516.0,2381,32135.0,0.748,15071.0,103.0,0.717,0.069,5.16e-05,0.99995,Existing Customer,,,,High Risk,763.0,1,5,2024-06-16 22:37:53.620948,2193.99,No,0,763.0,Aa,good,good,526.2,>$120K,>$120K
709912683,Existing Customer,53,F,4,Graduate,Single,,Gold,41,5,1,2,34516.0,2374,32142.0,0.81,4390.0,77.0,0.604,0.069,6.65e-05,0.99993,Existing Customer,,,,High Risk,471.0,0,0,,0.0,No,0,471.0,Ca,good,good,524.8,>$120K,>$120K
