CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Attrition_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount
A900000000,Attrited Customer,52,M,5,Undergraduate,Single,$60K - $80K,Gold,41,4,12,0,35000.0,2517,32163.0,,,,,,,,Involuntary,73432.0,6119.333333333333,41.13193158296111,Medium Risk,477.0,1,1,2024-11-17 20:42:57.584306,8378.7
718888308,Existing Customer,53,M,3,Graduate,Single,$80K - $120K,Blue,36,4,3,2,34516.0,2517,31999.0,0.741,1475.0,33.0,0.833,0.073,0.00018665,0.99981,Existing Customer,100952.0,8412.666666666666,29.919169506300026,Low Risk,552.0,0,0,,0.0
771359958,Existing Customer,39,M,4,Unknown,Single,$120K +,Silver,26,6,2,2,34516.0,2517,31999.0,0.887,1689.0,42.0,1.1,0.073,0.00011856,0.99988,Existing Customer,170856.0,14238.0,17.67804466919511,Low Risk,798.0,0,0,,0.0
715127208,Existing Customer,48,M,3,Doctorate,Divorced,$120K +,Blue,36,4,3,2,34516.0,2517,31999.0,0.697,1699.0,48.0,0.846,0.073,0.00027008,0.99973,Existing Customer,179947.0,14995.583333333334,16.784942232990822,Low Risk,720.0,0,0,,0.0
718784358,Existing Customer,34,M,4,Uneducated,Single,$120K +,Blue,36,6,3,2,34516.0,2517,31999.0,0.975,1969.0,46.0,1.3,0.073,0.00019396,0.99981,Existing Customer,152859.0,12738.25,19.759386100916533,Low Risk,556.0,0,0,,0.0
711032058,Existing Customer,34,M,3,High School,Single,$80K - $120K,Silver,21,6,4,3,34516.0,2517,31999.0,0.791,2901.0,75.0,0.923,0.073,0.00033322,0.99967,Existing Customer,85056.0,7088.0,35.510722347629795,Low Risk,521.0,0,0,,0.0
720467583,Existing Customer,52,M,2,High School,Single,$80K - $120K,Blue,46,3,3,2,34516.0,2517,31999.0,0.685,3072.0,67.0,0.675,0.073,0.00017486,0.99983,Existing Customer,81144.0,6762.0,37.22271517302573,Medium Risk,638.0,0,0,,0.0
709163358,Attrited Customer,41,M,5,Unknown,Single,$60K - $80K,Gold,32,2,3,4,34516.0,2517,31999.0,0.465,1727.0,35.0,0.458,0.073,0.99852,0.0014793,Voluntary,65253.0,5437.75,46.2875270102524,Medium Risk,668.0,0,0,,0.0
717331758,Existing Customer,44,M,4,Graduate,Married,$120K +,Blue,32,6,3,4,34516.0,2517,31999.0,0.765,4228.0,83.0,0.596,0.073,0.00054115,0.99946,Existing Customer,122025.0,10168.75,24.752304855562386,Low Risk,470.0,0,0,,0.0
721295658,Existing Customer,62,M,1,Unknown,Single,$80K - $120K,Blue,55,6,1,4,34516.0,2517,31999.0,0.945,3975.0,63.0,0.537,0.073,0.00016305,0.99984,Existing Customer,97224.0,8102.0,31.066403357195753,Low Risk,552.0,0,0,,0.0
