CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,Attrition_Type,annual_income,monthly_income,DTI_ratio,DTI_Risk_Level,Credit_Score,Loan_Default_Flag,Number_of_Defaults,Last_Default_Date,Default_Amount,Bankruptcy_History,Bankruptcy_Flag,Adjusted_Credit_Score,Moodys_Rating,Payment_History_Flag,Payment_Risk,estimated_annual_revenue
A900000000,Attrited Customer,52,M,5,Undergraduate,Single,$60K - $80K,Gold,41,4,12,0,35000.0,2517,32163.0,,,,,,,,Involuntary,60923.0,5076.916666666667,49.57733532491834,High Risk,477.0,1,1,2024-11-16 22:37:53.620688,8378.7,Yes,1,327.0,C,bad,bad,553.4000000000001
718888308,Existing Customer,53,M,3,Graduate,Single,$80K - $120K,Blue,36,4,3,2,34516.0,2517,31999.0,0.741,1475.0,33.0,0.833,0.073,0.00018665,0.99981,Existing Customer,99885.0,8323.75,30.238774590779393,Low Risk,552.0,0,0,,0.0,No,0,552.0,B,good,good,553.4000000000001
771359958,Existing Customer,39,M,4,Unknown,Single,$120K +,Silver,26,6,2,2,34516.0,2517,31999.0,0.887,1689.0,42.0,1.1,0.073,0.00011856,0.99988,Existing Customer,188970.0,15747.5,15.983489442768695,Low Risk,798.0,0,0,,0.0,No,0,798.0,Aa,good,good,553.4000000000001
715127208,Existing Customer,48,M,3,Doctorate,Divorced,$120K +,Blue,36,4,3,2,34516.0,2517,31999.0,0.697,1699.0,48.0,0.846,0.073,0.00027008,0.99973,Existing Customer,165494.0,13791.166666666666,18.25081271828586,Low Risk,720.0,0,0,,0.0,No,0,720.0,A,good,good,553.4000000000001
718784358,Existing Customer,34,M,4,Uneducated,Single,$120K +,Blue,36,6,3,2,34516.0,2517,31999.0,0.975,1969.0,46.0,1.3,0.073,0.00019396,0.99981,Existing Customer,125921.0,10493.416666666666,23.986467705942616,Low Risk,556.0,0,0,,0.0,No,0,556.0,B,good,good,553.4000000000001
711032058,Existing Customer,34,M,3,High School,Single,$80K - $120K,Silver,21,6,4,3,34516.0,2517,31999.0,0.791,2901.0,75.0,0.923,0.073,0.00033322,0.99967,Existing Customer,108129.0,9010.75,27.933301889409872,Low Risk,521.0,0,0,,0.0,No,0,521.0,Caa,good,good,553.4000000000001
720467583,Existing Customer,52,M,2,High School,Single,$80K - $120K,Blue,46,3,3,2,34516.0,2517,31999.0,0.685,3072.0,67.0,0.675,0.073,0.00017486,0.99983,Existing Customer,84449.0,7037.416666666667,35.765965257137445,Low Risk,638.0,0,0,,0.0,Yes,1,488.0,Ca,bad,bad,553.4000000000001
709163358,Attrited Customer,41,M,5,Unknown,Single,$60K - $80K,Gold,32,2,3,4,34516.0,2517,31999.0,0.465,1727.0,35.0,0.458,0.073,0.99852,0.0014793,Voluntary,79059.0,6588.25,38.204379008082576,Medium Risk,668.0,0,0,,0.0,Yes,1,518.0,Caa,bad,bad,553.4000000000001
717331758,Existing Customer,44,M,4,Graduate,Married,$120K +,Blue,32,6,3,4,34516.0,2517,31999.0,0.765,4228.0,83.0,0.596,0.073,0.00054115,0.99946,Existing Customer,192011.0,16000.916666666666,15.730348782101025,Low Risk,470.0,0,0,,0.0,No,0,470.0,Ca,good,good,553.4000000000001
721295658,Existing Customer,62,M,1,Unknown,Single,$80K - $120K,Blue,55,6,1,4,34516.0,2517,31999.0,0.945,3975.0,63.0,0.537,0.073,0.00016305,0.99984,Existing Customer,81276.0,6773.0,37.16226192233869,Medium Risk,552.0,0,0,,0.0,No,0,552.0,B,good,good,553.4000000000001
